date,home_team,away_team,tournament,neutral,is_friendly,home_elo_before,away_elo_before,elo_diff,home_win_rate_5,home_win_rate_10,home_goals_scored_avg_5,home_goals_scored_avg_10,home_goals_conceded_avg_5,home_goals_conceded_avg_10,home_goal_diff_avg_5,home_goal_diff_avg_10,away_win_rate_5,away_win_rate_10,away_goals_scored_avg_5,away_goals_scored_avg_10,away_goals_conceded_avg_5,away_goals_conceded_avg_10,away_goal_diff_avg_5,away_goal_diff_avg_10,home_advantage,h2h_home_win_rate,h2h_avg_goal_diff,h2h_num_meetings,home_streak,away_streak,home_days_since_last,away_days_since_last,home_squad_value,away_squad_value,squad_value_diff,home_avg_age,away_avg_age,home_sentiment_avg,away_sentiment_avg,sentiment_diff,home_sentiment_volume,away_sentiment_volume,outcome
1990-01-26,Kuwait,German DR,Friendly,0,1,1493.6,1493.7178790241012,-0.11787902410128481,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,3.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0,-1,-1,5.0,2.0,16.36238719866352,14.06100564221566,2.3013815564478595,26.48,25.94,0.0,0.0,0.0,0,0,-1
1990-01-27,Ivory Coast,Liberia,Friendly,1,1,1493.6,1493.6,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0,-1,-1,2.0,3.0,19.826688708798113,16.201253746920205,3.6254349618779074,25.43,25.95,0.6333,0.0,0.6333,1,0,1
1990-01-27,United Arab Emirates,Egypt,Friendly,0,1,1493.6,1506.4,-12.800000000000182,0.0,0.0,1.0,1.0,2.0,2.0,-1.0,-1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,1,-1,1,2.0,2.0,18.243107965839517,19.67274519997326,-1.429637234133743,25.34,24.53,0.0,0.0,0.0,0,0,1
1990-01-28,Nigeria,Senegal,Friendly,0,1,1506.4,1506.4,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1,1,3.0,4.0,19.33610987675662,19.587564552440305,-0.25145467568368574,26.15,25.86,0.136,0.0,0.136,1,0,0
1990-01-29,Thailand,Kenya,King's Cup,0,0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,17.85912864758114,17.88789921024021,-0.0287705626590693,24.43,24.57,0.0,0.0,0.0,0,0,1
1990-02-02,Colombia,Uruguay,Miami Cup,1,0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,19.750425867117585,19.627817720999673,0.12260814611791204,25.0,24.24,0.0,0.0,0.0,0,0,-1
1990-02-02,Indonesia,Kenya,King's Cup,1,0,1500.0,1492.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0,0,-1,30.0,4.0,16.206369222711558,17.88789921024021,-1.681529987528652,26.12,24.57,0.0,0.0,0.0,0,0,-1
1990-02-02,Iran,Poland,Friendly,0,1,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,19.839287631749496,19.741351208461104,0.0979364232883917,24.26,25.94,0.0,0.1687,-0.1687,0,3,-1
1990-02-02,United States,Costa Rica,Miami Cup,0,0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,30.0,19.752355143986136,19.73509048328846,0.01726466069767696,24.41,26.1,0.0,0.0,0.0,0,0,-1
1990-02-04,Algeria,Romania,Friendly,0,1,1512.682120975899,1500.0,12.682120975898897,1.0,1.0,4.0,4.0,0.5,0.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,2,0,21.0,30.0,19.987716009125943,19.815516644539727,0.17219936458621632,26.35,25.02,0.0,0.0,0.0,0,0,0
